timesteps,mean_reward,std_reward
500,177.03,43.15030822601387
1000,102.44,39.603363493521606
1500,283.31,155.28069390622906
2000,318.57,134.9208104778503
2500,326.68,117.09072379996633
3000,333.51,111.6785113618551
3500,387.34,109.75082869846587
4000,379.16,85.70527638366264
4500,411.78,78.26718086145686
5000,482.14,35.88287056521538
5500,485.21,33.69934569097744
6000,498.15,6.702797923255631
6500,500.0,0.0
7000,500.0,0.0
7500,500.0,0.0
8000,500.0,0.0
8500,500.0,0.0
9000,500.0,0.0
9500,500.0,0.0
10000,500.0,0.0
10500,500.0,0.0
11000,500.0,0.0
11500,500.0,0.0
12000,500.0,0.0
12500,500.0,0.0
13000,500.0,0.0
13500,500.0,0.0
14000,500.0,0.0
14500,500.0,0.0
15000,500.0,0.0
